GEOID,LST,NDVI,NDBI,z_score,cluster_type
04013093002,57.968812856614775,0.17598001700055768,-0.03253010058245093,0.7034588845853489,0
04013093101,58.0325824643525,0.14029766942577598,-7.653166089860551E-4,0.7363679422494217,0
04013093105,58.014792853159776,0.16507267743551346,-0.0190641164400223,0.7271874037243824,0
04013093106,59.49393316591995,0.1433548362295606,-0.001372366884285257,1.4905151953281879,0
04013103205,55.493110559863574,0.23892716642468267,-0.06345678417955035,-0.5741564643744295,0
04013103206,55.37590252312687,0.19966990211844934,-0.0422722000426986,-0.6346430531507803,0
04013103208,53.79149792766541,0.2550597948028244,-0.06431536183048281,-1.4522937184914186,0
04013103210,56.23604694310201,0.18123493605944288,-0.028648299338616963,-0.19075538752779736,0
04013103211,58.348527190339,0.1639289603883847,-0.01979159712786272,0.8994149418312969,0
04013103302,58.362048859078044,0.1735906478056279,-0.013469409445136228,0.9063929583509827,0
04013103501,57.311278058881356,0.1584158543410909,-0.014405068564577328,0.3641303024849124,0
04013103502,58.12256527920424,0.1550246795769087,0.021765800070442647,0.782804634394535,0
04013103607,56.68634267837722,0.18141803507709958,-0.03230499093360623,0.04162503386361836,0
04013103612,55.37516317689451,0.2092418685474242,-0.05427365938084292,-0.6350246014879513,0
04013103614,56.78728864039533,0.17055162670591373,-0.01669314065097959,0.09371938731600679,0
04013103615,56.839646841548735,0.16056811543770438,0.10789592354044007,0.12073945411696836,0
04013103701,55.92927552112329,0.19202747770469905,-0.01819529348881776,-0.3490683954595512,0
04013103702,57.18016108505803,0.18160077306938513,0.05157450051532597,0.2964658427937511,0
04013104202,58.98001223651951,0.15374954387193948,-0.02015159669915294,1.2253002426194923,0
04013104212,58.59758058110485,0.15085298584013193,-0.012853227561014025,1.0279418794887396,0
04013104218,58.97782123791419,0.12547482909707305,-0.0015065807061166866,1.224169551966027,0
04013104219,58.86239474804709,0.16996925865291315,-0.00838729161660229,1.164602351449113,0
04013104222,57.61082496787404,0.18273257790462488,-0.02833718381670243,0.5187150153418347,0
04013104227,57.988196338220696,0.14990443428298053,-0.022201234071034127,0.7134619587225349,0
04013104301,58.97935067533426,0.15282771349128865,-0.014620854566642303,1.2249588361726604,0
04013104401,57.34805603039485,0.15013529368773287,-0.013107904680044552,0.3831100081510206,0
04013104502,58.86441663733227,0.1404190364803561,0.011266156113055344,1.165645771244795,0
04013104701,56.76124241542094,0.15385260020302197,-0.018931335633683766,0.08027792593617383,0
04013104702,57.39703827804897,0.1430662460194251,0.004716199804218094,0.4083878743595591,0
04013104801,57.563547128909114,0.15951893734858152,0.050450534586222895,0.49431672932557985,0
04013104802,57.5666506023567,0.17461791694260628,-0.022530517077596728,0.4959183133758636,0
04013105101,56.04913907185698,0.20219975116225183,-0.028509383662220125,-0.2872113973870678,0
